ImageNumber,ObjectNumber,FileName_Blue,FileName_FarRed,FileName_Green,FileName_Red,PathName_Blue,PathName_FarRed,PathName_Green,PathName_Red,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Cytoplasm
1,1,r04c02f01p01-ch2sk1fk1fl1.tiff,r04c02f01p01-ch4sk1fk1fl1.tiff,r04c02f01p01-ch3sk1fk1fl1.tiff,r04c02f01p01-ch1sk1fk1fl1.tiff,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,205,89,142,23,168.5835095,54.02466526,0,1,1
1,2,r04c02f01p01-ch2sk1fk1fl1.tiff,r04c02f01p01-ch4sk1fk1fl1.tiff,r04c02f01p01-ch3sk1fk1fl1.tiff,r04c02f01p01-ch1sk1fk1fl1.tiff,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,810,142,757,26,784.8102894,91.55167662,0,2,2
1,3,r04c02f01p01-ch2sk1fk1fl1.tiff,r04c02f01p01-ch4sk1fk1fl1.tiff,r04c02f01p01-ch3sk1fk1fl1.tiff,r04c02f01p01-ch1sk1fk1fl1.tiff,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,332,112,273,57,299.887527,83.52919971,0,3,3
1,4,r04c02f01p01-ch2sk1fk1fl1.tiff,r04c02f01p01-ch4sk1fk1fl1.tiff,r04c02f01p01-ch3sk1fk1fl1.tiff,r04c02f01p01-ch1sk1fk1fl1.tiff,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,854,134,805,22,826.2800378,84.61731315,0,4,4
1,5,r04c02f01p01-ch2sk1fk1fl1.tiff,r04c02f01p01-ch4sk1fk1fl1.tiff,r04c02f01p01-ch3sk1fk1fl1.tiff,r04c02f01p01-ch1sk1fk1fl1.tiff,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,240,166,164,66,202.6125161,115.3484784,0,5,5
1,6,r04c02f01p01-ch2sk1fk1fl1.tiff,r04c02f01p01-ch4sk1fk1fl1.tiff,r04c02f01p01-ch3sk1fk1fl1.tiff,r04c02f01p01-ch1sk1fk1fl1.tiff,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,188,157,109,84,153.2938689,125.5306554,0,6,8
1,7,r04c02f01p01-ch2sk1fk1fl1.tiff,r04c02f01p01-ch4sk1fk1fl1.tiff,r04c02f01p01-ch3sk1fk1fl1.tiff,r04c02f01p01-ch1sk1fk1fl1.tiff,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,1012,161,937,41,977.8750303,94.38169048,0,7,9
1,8,r04c02f01p01-ch2sk1fk1fl1.tiff,r04c02f01p01-ch4sk1fk1fl1.tiff,r04c02f01p01-ch3sk1fk1fl1.tiff,r04c02f01p01-ch1sk1fk1fl1.tiff,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,940,172,844,81,896.9147519,135.3256743,0,8,10
1,9,r04c02f01p01-ch2sk1fk1fl1.tiff,r04c02f01p01-ch4sk1fk1fl1.tiff,r04c02f01p01-ch3sk1fk1fl1.tiff,r04c02f01p01-ch1sk1fk1fl1.tiff,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,443,233,321,103,372.8422665,156.5919687,0,9,11
1,10,r04c02f01p01-ch2sk1fk1fl1.tiff,r04c02f01p01-ch4sk1fk1fl1.tiff,r04c02f01p01-ch3sk1fk1fl1.tiff,r04c02f01p01-ch1sk1fk1fl1.tiff,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,533,206,460,118,478.6732606,161.0095498,0,10,12
1,11,r04c02f01p01-ch2sk1fk1fl1.tiff,r04c02f01p01-ch4sk1fk1fl1.tiff,r04c02f01p01-ch3sk1fk1fl1.tiff,r04c02f01p01-ch1sk1fk1fl1.tiff,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,190,209,99,130,154.4234875,172.3333333,0,11,13
1,12,r04c02f01p01-ch2sk1fk1fl1.tiff,r04c02f01p01-ch4sk1fk1fl1.tiff,r04c02f01p01-ch3sk1fk1fl1.tiff,r04c02f01p01-ch1sk1fk1fl1.tiff,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,328,206,201,103,257.803283,157.2194864,0,12,14
1,13,r04c02f01p01-ch2sk1fk1fl1.tiff,r04c02f01p01-ch4sk1fk1fl1.tiff,r04c02f01p01-ch3sk1fk1fl1.tiff,r04c02f01p01-ch1sk1fk1fl1.tiff,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,853,205,760,126,801.852071,157.5661982,0,13,15
1,14,r04c02f01p01-ch2sk1fk1fl1.tiff,r04c02f01p01-ch4sk1fk1fl1.tiff,r04c02f01p01-ch3sk1fk1fl1.tiff,r04c02f01p01-ch1sk1fk1fl1.tiff,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,592,252,480,127,532.0326169,207.2012642,0,14,16
1,15,r04c02f01p01-ch2sk1fk1fl1.tiff,r04c02f01p01-ch4sk1fk1fl1.tiff,r04c02f01p01-ch3sk1fk1fl1.tiff,r04c02f01p01-ch1sk1fk1fl1.tiff,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,919,214,837,159,869.3804825,189.9024123,0,15,17
1,16,r04c02f01p01-ch2sk1fk1fl1.tiff,r04c02f01p01-ch4sk1fk1fl1.tiff,r04c02f01p01-ch3sk1fk1fl1.tiff,r04c02f01p01-ch1sk1fk1fl1.tiff,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,126,231,5,47,59.98793651,125.282963,0,16,18
1,17,r04c02f01p01-ch2sk1fk1fl1.tiff,r04c02f01p01-ch4sk1fk1fl1.tiff,r04c02f01p01-ch3sk1fk1fl1.tiff,r04c02f01p01-ch1sk1fk1fl1.tiff,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,476,234,383,148,435.4601497,191.5046235,0,17,21
1,18,r04c02f01p01-ch2sk1fk1fl1.tiff,r04c02f01p01-ch4sk1fk1fl1.tiff,r04c02f01p01-ch3sk1fk1fl1.tiff,r04c02f01p01-ch1sk1fk1fl1.tiff,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,132,267,44,183,88.61423651,233.9557979,0,18,23
1,19,r04c02f01p01-ch2sk1fk1fl1.tiff,r04c02f01p01-ch4sk1fk1fl1.tiff,r04c02f01p01-ch3sk1fk1fl1.tiff,r04c02f01p01-ch1sk1fk1fl1.tiff,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,1025,259,963,206,992.689781,232.8430657,0,19,24
1,20,r04c02f01p01-ch2sk1fk1fl1.tiff,r04c02f01p01-ch4sk1fk1fl1.tiff,r04c02f01p01-ch3sk1fk1fl1.tiff,r04c02f01p01-ch1sk1fk1fl1.tiff,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,839,252,767,196,799.0176644,223.2296369,0,20,26
1,21,r04c02f01p01-ch2sk1fk1fl1.tiff,r04c02f01p01-ch4sk1fk1fl1.tiff,r04c02f01p01-ch3sk1fk1fl1.tiff,r04c02f01p01-ch1sk1fk1fl1.tiff,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,548,342,386,218,460.1205143,264.570332,0,21,27
